table_name,pk_column,row_count,missing_pk_count,duplicate_pk_groups,duplicate_pk_rows,normalized_duplicate_pk_groups,status
after_sales_cases_raw,case_id,19,0,0,0,0,OK
business_interventions,intervention_id,5,0,0,0,0,OK
customers_raw,customer_id,188,0,0,0,0,OK
departments,department_id,8,0,0,0,0,OK
employees,employee_id,10,0,0,0,0,OK
fx_rates_daily,,3040,,,,,REVIEW_PK
inventory_daily_snapshot_raw,snapshot_date + product_id,19456,0,0,0,0,OK
inventory_movements_raw,inventory_move_id,683,0,0,0,0,OK
inventory_policy_history,,38,,,,,REVIEW_PK
invoice_lines_raw,invoice_line_id,330,0,0,0,0,OK
invoices_raw,invoice_id,224,0,0,0,0,OK
leads_raw,,855,,,,,REVIEW_PK
marketing_campaigns,campaign_id,15,0,0,0,0,OK
marketing_daily_raw,,7686,,,,,REVIEW_PK
payments_raw,,234,,,,,REVIEW_PK
process_events_raw,process_event_id,4790,0,0,0,0,OK
product_supplier_map_raw,map_id,222,0,0,0,0,OK
products_raw,product_id,32,0,0,0,0,OK
purchase_order_lines_raw,purchase_order_line_id,234,0,0,0,0,OK
purchase_orders_raw,purchase_order_id,234,0,0,0,0,OK
qa_events_raw,purchase_order_line_id,22,0,0,0,0,OK
quotation_lines_raw,quotation_line_id,919,0,0,0,0,OK
quotations_raw,quotation_id,488,0,0,0,0,OK
sales_activities_raw,,2188,,,,,REVIEW_PK
sales_order_lines_raw,sales_order_line_id,307,0,0,0,0,OK
sales_orders_raw,sales_order_id,179,0,0,0,0,OK
shipment_lines_raw,shipment_line_id,406,0,0,0,0,OK
shipments_raw,shipment_id,348,0,0,0,0,OK
supplier_invoices_raw,supplier_invoice_id,225,0,0,0,0,OK
supplier_payments_raw,supplier_payment_id,225,0,0,0,0,OK
suppliers_raw,supplier_id,18,0,0,0,0,OK
warehouses,warehouse_id,2,0,0,0,0,OK
