table_name,column_name,issue_type,comparison_key,variant_count,affected_rows,variants
customers_raw,company_name,TEXT_VARIANT,clean scientific factory,2,2,Clean Scientific Factory | Clean Scientific Factory 
customers_raw,company_name,TEXT_VARIANT,industrial med factory,2,2,Industrial Med Factory | Industrial Med Factory 
customers_raw,company_name,TEXT_VARIANT,tech tech jsc,2,2,Tech Tech JSC | Tech Tech JSC 
customers_raw,industry,TEXT_VARIANT,cleanroom contractor,2,10,Cleanroom Contractor | Cleanroom contractor
customers_raw,industry,TEXT_VARIANT,electronics,2,29,Electronics | electronics
customers_raw,industry,TEXT_VARIANT,laboratory,2,9,Laboratory | laboratory
customers_raw,industry,TEXT_VARIANT,pharmaceutical,2,50,Pharmaceutical | PHARMACEUTICAL
customers_raw,province,TEXT_VARIANT,binh duong,2,29,Binh Duong | BINH DUONG
customers_raw,province,TEXT_VARIANT,ha noi,2,21,Ha Noi | HA NOI
customers_raw,default_payment_term,TEXT_VARIANT,net30,2,2,Net30 | NET30
leads_raw,company_name_raw,TEXT_VARIANT,asia vietnam jsc,2,12,Asia Vietnam JSC |  Asia Vietnam JSC  
leads_raw,company_name_raw,TEXT_VARIANT,bio advanced vietnam,2,4,Bio Advanced Vietnam |  Bio Advanced Vietnam  
leads_raw,company_name_raw,TEXT_VARIANT,bio industrial vietnam,2,9,Bio Industrial Vietnam |  Bio Industrial Vietnam  
leads_raw,company_name_raw,TEXT_VARIANT,bio precision jsc,2,7,Bio Precision JSC |  Bio Precision JSC  
leads_raw,company_name_raw,TEXT_VARIANT,clean health vietnam,2,14,Clean Health Vietnam |  Clean Health Vietnam  
leads_raw,company_name_raw,TEXT_VARIANT,green asia vietnam,2,53,Green Asia Vietnam |  Green Asia Vietnam  
leads_raw,company_name_raw,TEXT_VARIANT,health pharma jsc,2,4,Health Pharma JSC |  Health Pharma JSC  
leads_raw,company_name_raw,TEXT_VARIANT,industrial bio co ltd,2,2, Industrial Bio Co Ltd   | Industrial Bio Co Ltd
leads_raw,company_name_raw,TEXT_VARIANT,lab industrial jsc,2,21,Lab Industrial JSC |  Lab Industrial JSC  
leads_raw,company_name_raw,TEXT_VARIANT,med asia vietnam,2,28,Med Asia Vietnam |  Med Asia Vietnam  
leads_raw,company_name_raw,TEXT_VARIANT,scientific advanced vietnam,2,52,Scientific Advanced Vietnam |  Scientific Advanced Vietnam  
leads_raw,company_name_raw,TEXT_VARIANT,solutions industrial factory,2,8,Solutions Industrial Factory |  Solutions Industrial Factory  
leads_raw,company_name_raw,TEXT_VARIANT,vietnam bio jsc,2,2,Vietnam Bio JSC |  Vietnam Bio JSC  
leads_raw,industry_raw,TEXT_VARIANT,cleanroom contractor,2,40,Cleanroom Contractor | Cleanroom contractor
leads_raw,industry_raw,TEXT_VARIANT,electronics,2,87,Electronics | electronics
leads_raw,industry_raw,TEXT_VARIANT,laboratory,2,32,Laboratory | laboratory
leads_raw,industry_raw,TEXT_VARIANT,pharmaceutical,3,185,Pharmaceutical | pharmaceutical | PHARMACEUTICAL
leads_raw,province_raw,TEXT_VARIANT,binh duong,2,98,Binh Duong | BINH DUONG
leads_raw,province_raw,TEXT_VARIANT,dong nai,2,140,Dong Nai | dong nai
leads_raw,province_raw,TEXT_VARIANT,ha noi,2,137,Ha Noi | HA NOI
leads_raw,source_channel_raw,TEXT_VARIANT,direct,3,70,Direct | direct |  direct  
leads_raw,source_channel_raw,TEXT_VARIANT,email,2,46,Email | email
leads_raw,source_channel_raw,TEXT_VARIANT,facebook ads,2,96,Facebook Ads |  Facebook Ads  
leads_raw,source_channel_raw,TEXT_VARIANT,google ads,2,304,Google Ads | Google ads
leads_raw,source_channel_raw,TEXT_VARIANT,organic search,3,178,Organic Search | Organic search |  Organic Search  
leads_raw,source_channel_raw,TEXT_VARIANT,paid search,2,14,Paid Search |  Paid Search  
leads_raw,source_channel_raw,TEXT_VARIANT,referral,3,62,Referral | referral |  Referral  
marketing_daily_raw,channel,TEXT_VARIANT,direct,2,1054,Direct | direct
marketing_daily_raw,channel,TEXT_VARIANT,email,2,1055,Email | email
marketing_daily_raw,channel,TEXT_VARIANT,google ads,2,1452,Google Ads | Google ads
marketing_daily_raw,channel,TEXT_VARIANT,organic search,2,1511,Organic Search | Organic search
marketing_daily_raw,channel,TEXT_VARIANT,referral,2,921,Referral | referral
payments_raw,payment_method,TEXT_VARIANT,bank transfer,2,215,Bank Transfer | Bank transfer
products_raw,product_category,TEXT_VARIANT,cleanroom wipers,2,5,Cleanroom Wipers | cleanroom wipers
products_raw,product_category,TEXT_VARIANT,disinfectants,2,6,Disinfectants | DISINFECTANTS
shipments_raw,shipping_method_raw,TEXT_VARIANT,dedicated van,2,52,Dedicated Van | Dedicated van
shipments_raw,shipping_method_raw,TEXT_VARIANT,local truck,2,191,Local Truck | local truck
suppliers_raw,country,TEXT_VARIANT,malaysia,2,5,Malaysia | MALAYSIA
suppliers_raw,country,TEXT_VARIANT,vietnam,2,4,Vietnam | vietnam
