table_name,source_column,proposed_name,datatype,nullable
after_sales_cases_raw,case_id,case_id,string,False
after_sales_cases_raw,sales_order_id,sales_order_id,string,False
after_sales_cases_raw,customer_id,customer_id,string,False
after_sales_cases_raw,opened_date,opened_date,date,False
after_sales_cases_raw,closed_date,closed_date,date,False
after_sales_cases_raw,issue_type,issue_type,string,False
after_sales_cases_raw,severity,severity,string,False
after_sales_cases_raw,resolution_days,resolution_days,integer,False
after_sales_cases_raw,csat_score,csat_score,integer,False
after_sales_cases_raw,repeat_order_within_90d_flag,repeat_order_within_90d_flag,boolean,False
after_sales_cases_raw,case_status,case_status,string,False
business_interventions,intervention_id,intervention_id,string,False
business_interventions,effective_date,effective_date,date,False
business_interventions,project,project,string,False
business_interventions,intervention_name,intervention_name,string,False
business_interventions,description,description,string,False
business_interventions,target_kpis,target_kpis,string,False
business_interventions,measurement_note,measurement_note,string,False
customers_raw,customer_id,customer_id,string,False
customers_raw,company_name,company_name,string,False
customers_raw,tax_id,tax_id,string,True
customers_raw,industry,industry,string,False
customers_raw,province,province,string,False
customers_raw,customer_segment,customer_segment,string,False
customers_raw,company_size_band,company_size_band,string,False
customers_raw,credit_risk,credit_risk,string,False
customers_raw,default_payment_term,default_payment_term,string,False
customers_raw,customer_since,customer_since,date,False
departments,department_id,department_id,string,False
departments,department_name,department_name,string,False
employees,employee_id,employee_id,string,False
employees,employee_name,employee_name,string,False
employees,department_id,department_id,string,False
employees,job_title,job_title,string,False
employees,hire_date,hire_date,date,False
employees,termination_date,termination_date,string,True
fx_rates_daily,date,date,date,False
fx_rates_daily,currency,currency,string,False
fx_rates_daily,vnd_per_currency,vnd_per_currency,decimal,False
inventory_daily_snapshot_raw,snapshot_date,snapshot_date,date,False
inventory_daily_snapshot_raw,warehouse_id,warehouse_id,string,False
inventory_daily_snapshot_raw,product_id,product_id,string,False
inventory_daily_snapshot_raw,on_hand_qty,on_hand_qty,integer,False
inventory_daily_snapshot_raw,on_order_qty,on_order_qty,integer,False
inventory_daily_snapshot_raw,backlog_qty,backlog_qty,integer,False
inventory_daily_snapshot_raw,available_qty,available_qty,integer,False
inventory_daily_snapshot_raw,unit_cost_vnd,unit_cost_vnd,integer,False
inventory_daily_snapshot_raw,inventory_value_vnd,inventory_value_vnd,integer,False
inventory_daily_snapshot_raw,stockout_flag,stockout_flag,boolean,False
inventory_daily_snapshot_raw,reorder_point_qty,reorder_point_qty,integer,False
inventory_daily_snapshot_raw,safety_stock_qty,safety_stock_qty,integer,False
inventory_movements_raw,inventory_move_id,inventory_move_id,string,False
inventory_movements_raw,movement_date,movement_date,date,False
inventory_movements_raw,warehouse_id,warehouse_id,string,False
inventory_movements_raw,product_id,product_id,string,False
inventory_movements_raw,movement_type,movement_type,string,False
inventory_movements_raw,quantity_signed,quantity_signed,integer,False
inventory_movements_raw,unit_cost_vnd,unit_cost_vnd,decimal,False
inventory_movements_raw,reference_document,reference_document,string,False
inventory_movements_raw,reference_line,reference_line,string,True
inventory_movements_raw,batch_no,batch_no,string,True
inventory_movements_raw,expiry_date,expiry_date,date,True
inventory_policy_history,product_id,product_id,string,False
inventory_policy_history,effective_from,effective_from,date,False
inventory_policy_history,effective_to,effective_to,date,True
inventory_policy_history,reorder_point_qty,reorder_point_qty,integer,False
inventory_policy_history,safety_stock_qty,safety_stock_qty,integer,False
inventory_policy_history,target_service_level,target_service_level,decimal,False
inventory_policy_history,annual_holding_rate_pct,annual_holding_rate_pct,decimal,False
invoice_lines_raw,invoice_line_id,invoice_line_id,string,False
invoice_lines_raw,invoice_id,invoice_id,string,False
invoice_lines_raw,sales_order_line_id,sales_order_line_id,string,False
invoice_lines_raw,product_id,product_id,string,False
invoice_lines_raw,quantity_invoiced,quantity_invoiced,integer,False
invoice_lines_raw,unit_price_vnd,unit_price_vnd,integer,False
invoice_lines_raw,discount_pct,discount_pct,decimal,False
invoice_lines_raw,net_amount_vnd,net_amount_vnd,integer,False
invoice_lines_raw,tax_amount_vnd,tax_amount_vnd,string,False
invoice_lines_raw,line_total_vnd,line_total_vnd,integer,False
invoices_raw,invoice_id,invoice_id,string,False
invoices_raw,sales_order_id,sales_order_id,string,False
invoices_raw,customer_id,customer_id,string,False
invoices_raw,invoice_date,invoice_date,date,False
invoices_raw,due_date,due_date,date,False
invoices_raw,payment_term,payment_term,string,False
invoices_raw,invoice_amount_vnd,invoice_amount_vnd,integer,False
invoices_raw,payment_status,payment_status,string,False
invoices_raw,source_system,source_system,string,False
leads_raw,lead_id,lead_id,string,False
leads_raw,created_at,created_at,datetime,False
leads_raw,customer_id,customer_id,string,True
leads_raw,company_name_raw,company_name,string,False
leads_raw,industry_raw,industry,string,False
leads_raw,province_raw,province,string,False
leads_raw,source_channel_raw,source_channel,string,False
leads_raw,campaign_id,campaign_id,string,False
leads_raw,product_interest_id,product_interest_id,string,False
leads_raw,inquiry_type,inquiry_type,string,False
leads_raw,company_size_band,company_size_band,string,False
leads_raw,pages_viewed_30d,pages_viewed_30d,integer,False
leads_raw,form_completeness_pct,form_completeness_pct,integer,False
leads_raw,requested_quote_flag,requested_quote_flag,boolean,False
leads_raw,requested_sample_flag,requested_sample_flag,boolean,False
leads_raw,budget_status,budget_status,string,True
leads_raw,purchase_timeline_days,purchase_timeline_days,integer,False
leads_raw,assigned_sales_id,assigned_sales_id,string,False
leads_raw,lifecycle_status_raw,lifecycle_status,string,False
leads_raw,lost_reason_raw,lost_reason,string,True
leads_raw,expected_value_vnd,expected_value_vnd,integer,False
leads_raw,email,email,string,True
leads_raw,phone,phone,string,True
marketing_campaigns,campaign_id,campaign_id,string,False
marketing_campaigns,campaign_name,campaign_name,string,False
marketing_campaigns,channel,channel,string,False
marketing_campaigns,start_date,start_date,date,False
marketing_campaigns,end_date,end_date,date,False
marketing_campaigns,objective,objective,string,False
marketing_campaigns,planned_daily_budget_vnd,planned_daily_budget_vnd,integer,False
marketing_daily_raw,date,date,date,False
marketing_daily_raw,campaign_id,campaign_id,string,False
marketing_daily_raw,channel,channel,string,False
marketing_daily_raw,impressions,impressions,integer,False
marketing_daily_raw,clicks,clicks,integer,False
marketing_daily_raw,sessions,sessions,integer,False
marketing_daily_raw,spend_vnd,spend_vnd,integer,False
marketing_daily_raw,leads_reported,leads_reported,integer,False
marketing_daily_raw,source_platform,source_platform,string,False
payments_raw,payment_id,payment_id,string,False
payments_raw,invoice_id,invoice_id,string,False
payments_raw,customer_id,customer_id,string,False
payments_raw,payment_date,payment_date,date,False
payments_raw,paid_amount_vnd,paid_amount_vnd,integer,False
payments_raw,payment_method,payment_method,string,False
payments_raw,payment_stage,payment_stage,string,False
process_events_raw,process_event_id,process_event_id,string,False
process_events_raw,case_type,case_type,string,False
process_events_raw,case_id,case_id,string,False
process_events_raw,event_timestamp,event_timestamp,datetime,False
process_events_raw,department,department,string,False
process_events_raw,event_stage,event_stage,string,False
process_events_raw,event_description,event_description,string,False
process_events_raw,duration_from_previous_hours,duration_from_previous_hours,decimal,True
product_supplier_map_raw,map_id,map_id,string,False
product_supplier_map_raw,product_id,product_id,string,False
product_supplier_map_raw,supplier_id,supplier_id,string,False
product_supplier_map_raw,supplier_role,supplier_role,string,False
product_supplier_map_raw,effective_from,effective_from,date,False
product_supplier_map_raw,effective_to,effective_to,string,True
product_supplier_map_raw,currency,currency,string,False
product_supplier_map_raw,unit_cost_local,unit_cost_local,decimal,False
product_supplier_map_raw,moq_qty,moq_qty,integer,False
product_supplier_map_raw,contract_lead_time_days,contract_lead_time_days,integer,False
product_supplier_map_raw,expected_defect_rate,expected_defect_rate,decimal,False
product_supplier_map_raw,freight_mode,freight_mode,string,False
products_raw,product_id,product_id,string,False
products_raw,sku,sku,string,False
products_raw,product_name,product_name,string,False
products_raw,product_category,product_category,string,False
products_raw,product_family,product_family,string,False
products_raw,brand,brand,string,False
products_raw,source_country,source_country,string,False
products_raw,standard_cost_vnd,standard_cost_vnd,integer,False
products_raw,list_price_vnd,list_price_vnd,integer,False
products_raw,shelf_life_days,shelf_life_days,integer,True
products_raw,criticality,criticality,string,False
products_raw,base_reorder_point_qty,base_reorder_point_qty,integer,False
products_raw,base_safety_stock_qty,base_safety_stock_qty,integer,False
products_raw,popularity_rank,popularity_rank,integer,False
purchase_order_lines_raw,purchase_order_line_id,purchase_order_line_id,string,False
purchase_order_lines_raw,purchase_order_id,purchase_order_id,string,False
purchase_order_lines_raw,product_id,product_id,string,False
purchase_order_lines_raw,quantity_ordered,quantity_ordered,integer,False
purchase_order_lines_raw,unit_price_local,unit_price_local,decimal,False
purchase_order_lines_raw,currency,currency,string,False
purchase_order_lines_raw,fx_rate_to_vnd,fx_rate_to_vnd,decimal,False
purchase_order_lines_raw,merchandise_value_vnd,merchandise_value_vnd,integer,False
purchase_order_lines_raw,freight_cost_vnd,freight_cost_vnd,integer,False
purchase_order_lines_raw,customs_cost_vnd,customs_cost_vnd,integer,False
purchase_order_lines_raw,expedite_cost_vnd,expedite_cost_vnd,integer,False
purchase_order_lines_raw,supplier_role,supplier_role,string,False
purchase_order_lines_raw,contract_lead_time_days,contract_lead_time_days,integer,False
purchase_orders_raw,purchase_order_id,purchase_order_id,string,False
purchase_orders_raw,po_date,po_date,date,False
purchase_orders_raw,supplier_id,supplier_id,string,False
purchase_orders_raw,buyer_id,buyer_id,string,False
purchase_orders_raw,expected_receipt_date,expected_receipt_date,date,False
purchase_orders_raw,actual_receipt_date,actual_receipt_date,date,True
purchase_orders_raw,currency,currency,string,False
purchase_orders_raw,fx_rate_to_vnd,fx_rate_to_vnd,decimal,False
purchase_orders_raw,payment_term,payment_term,string,False
purchase_orders_raw,incoterm,incoterm,string,False
purchase_orders_raw,po_status,po_status,string,False
qa_events_raw,qa_event_id,qa_event_id,string,False
qa_events_raw,event_date,event_date,date,False
qa_events_raw,purchase_order_id,purchase_order_id,string,False
qa_events_raw,purchase_order_line_id,purchase_order_line_id,string,False
qa_events_raw,product_id,product_id,string,False
qa_events_raw,supplier_id,supplier_id,string,False
qa_events_raw,qa_type,qa_type,string,False
qa_events_raw,severity,severity,string,False
qa_events_raw,defect_qty,defect_qty,integer,False
qa_events_raw,estimated_quality_cost_vnd,estimated_quality_cost_vnd,integer,False
qa_events_raw,disposition,disposition,string,False
quotation_lines_raw,quotation_line_id,quotation_line_id,string,False
quotation_lines_raw,quotation_id,quotation_id,string,False
quotation_lines_raw,product_id,product_id,string,False
quotation_lines_raw,quantity,quantity,integer,False
quotation_lines_raw,unit_price_local,unit_price_local,decimal,False
quotation_lines_raw,currency,currency,string,False
quotation_lines_raw,discount_pct,discount_pct,decimal,False
quotation_lines_raw,line_net_vnd,line_net_vnd,integer,False
quotations_raw,quotation_id,quotation_id,string,False
quotations_raw,lead_id,lead_id,string,False
quotations_raw,customer_id,customer_id,string,True
quotations_raw,quote_date_raw,quote_date,date,False
quotations_raw,version_no,version_no,integer,False
quotations_raw,quote_date_clean_reference,quote_date_clean_reference,date,False
quotations_raw,valid_until,valid_until,date,False
quotations_raw,salesperson_id,salesperson_id,string,False
quotations_raw,currency,currency,string,False
quotations_raw,fx_rate_to_vnd,fx_rate_to_vnd,decimal,False
quotations_raw,quotation_status,quotation_status,string,False
quotations_raw,header_total_vnd,header_total_vnd,integer,False
sales_activities_raw,activity_id,activity_id,string,False
sales_activities_raw,lead_id,lead_id,string,False
sales_activities_raw,employee_id,employee_id,string,False
sales_activities_raw,activity_datetime,activity_datetime,datetime,False
sales_activities_raw,activity_type_raw,activity_type,string,False
sales_activities_raw,outcome_raw,outcome,string,True
sales_activities_raw,next_followup_date,next_followup_date,date,True
sales_activities_raw,data_entry_source,data_entry_source,string,False
sales_order_lines_raw,sales_order_line_id,sales_order_line_id,string,False
sales_order_lines_raw,sales_order_id,sales_order_id,string,False
sales_order_lines_raw,product_id,product_id,string,False
sales_order_lines_raw,quantity_ordered,quantity_ordered,integer,False
sales_order_lines_raw,unit_price_vnd,unit_price_vnd,integer,False
sales_order_lines_raw,unit_cost_vnd,unit_cost_vnd,integer,False
sales_order_lines_raw,discount_pct,discount_pct,decimal,False
sales_order_lines_raw,promised_delivery_date,promised_delivery_date,date,False
sales_order_lines_raw,line_status,line_status,string,False
sales_order_lines_raw,quantity_shipped_to_date,quantity_shipped_to_date,integer,False
sales_orders_raw,sales_order_id,sales_order_id,string,False
sales_orders_raw,quotation_id,quotation_id,string,True
sales_orders_raw,lead_id,lead_id,string,True
sales_orders_raw,customer_id,customer_id,string,False
sales_orders_raw,order_date_raw,order_date,date,False
sales_orders_raw,requested_delivery_date,requested_delivery_date,date,False
sales_orders_raw,salesperson_id,salesperson_id,string,False
sales_orders_raw,payment_term,payment_term,string,False
sales_orders_raw,order_status,order_status,string,False
sales_orders_raw,order_type,order_type,string,False
sales_orders_raw,currency,currency,string,False
sales_orders_raw,fx_rate_to_vnd,fx_rate_to_vnd,decimal,False
shipment_lines_raw,shipment_line_id,shipment_line_id,string,False
shipment_lines_raw,shipment_id,shipment_id,string,False
shipment_lines_raw,sales_order_line_id,sales_order_line_id,string,False
shipment_lines_raw,product_id,product_id,string,False
shipment_lines_raw,quantity_shipped,quantity_shipped,integer,False
shipments_raw,shipment_id,shipment_id,string,False
shipments_raw,sales_order_id,sales_order_id,string,False
shipments_raw,ship_date,ship_date,date,False
shipments_raw,actual_delivery_date,actual_delivery_date,date,False
shipments_raw,shipping_method_raw,shipping_method,string,False
shipments_raw,warehouse_id,warehouse_id,string,False
shipments_raw,freight_cost_vnd,freight_cost_vnd,integer,False
shipments_raw,shipment_status,shipment_status,string,False
shipments_raw,partial_shipment_flag,partial_shipment_flag,boolean,False
shipments_raw,tracking_no,tracking_no,string,False
supplier_invoices_raw,supplier_invoice_id,supplier_invoice_id,string,False
supplier_invoices_raw,purchase_order_id,purchase_order_id,string,False
supplier_invoices_raw,supplier_id,supplier_id,string,False
supplier_invoices_raw,invoice_date,invoice_date,date,False
supplier_invoices_raw,due_date,due_date,date,False
supplier_invoices_raw,invoice_amount_vnd,invoice_amount_vnd,integer,False
supplier_invoices_raw,payment_status,payment_status,string,False
supplier_payments_raw,supplier_payment_id,supplier_payment_id,string,False
supplier_payments_raw,supplier_invoice_id,supplier_invoice_id,string,False
supplier_payments_raw,supplier_id,supplier_id,string,False
supplier_payments_raw,payment_date,payment_date,date,False
supplier_payments_raw,paid_amount_vnd,paid_amount_vnd,integer,False
supplier_payments_raw,payment_method,payment_method,string,False
suppliers_raw,supplier_id,supplier_id,string,False
suppliers_raw,supplier_name,supplier_name,string,False
suppliers_raw,country,country,string,False
suppliers_raw,currency,currency,string,False
suppliers_raw,payment_term,payment_term,string,False
suppliers_raw,incoterm,incoterm,string,False
suppliers_raw,planned_lead_time_days,planned_lead_time_days,integer,False
suppliers_raw,baseline_otif,baseline_otif,decimal,False
suppliers_raw,baseline_defect_rate,baseline_defect_rate,decimal,False
suppliers_raw,default_freight_mode,default_freight_mode,string,False
warehouses,warehouse_id,warehouse_id,string,False
warehouses,warehouse_name,warehouse_name,string,False
warehouses,city,city,string,False
warehouses,province,province,string,False
warehouses,warehouse_type,warehouse_type,string,False
