table_name,column_name,suggested_silver_type,numeric_ratio,date_ratio
after_sales_cases_raw,case_id,string,0.0,0.0
after_sales_cases_raw,sales_order_id,string,0.0,0.0
after_sales_cases_raw,customer_id,string,0.0,0.0
after_sales_cases_raw,opened_date,date,0.0,1.0
after_sales_cases_raw,closed_date,date,0.0,1.0
after_sales_cases_raw,issue_type,string,0.0,0.0
after_sales_cases_raw,severity,string,0.0,0.0
after_sales_cases_raw,resolution_days,integer,1.0,0.0
after_sales_cases_raw,csat_score,integer,1.0,0.0
after_sales_cases_raw,repeat_order_within_90d_flag,boolean,1.0,0.0
after_sales_cases_raw,case_status,string,0.0,0.0
business_interventions,intervention_id,string,0.0,0.0
business_interventions,effective_date,date,0.0,1.0
business_interventions,project,string,0.0,0.0
business_interventions,intervention_name,string,0.0,0.0
business_interventions,description,string,0.0,0.0
business_interventions,target_kpis,string,0.0,0.0
business_interventions,measurement_note,string,0.0,0.0
customers_raw,customer_id,string,0.0,0.0
customers_raw,company_name,string,0.0,0.0
customers_raw,tax_id,string,0.0,0.0
customers_raw,industry,string,0.0,0.0
customers_raw,province,string,0.0,0.0
customers_raw,customer_segment,string,0.0,0.0
customers_raw,company_size_band,string,0.0,0.25
customers_raw,credit_risk,string,0.0,0.0
customers_raw,default_payment_term,string,0.0,0.0
customers_raw,customer_since,date,0.0,1.0
departments,department_id,string,0.0,0.0
departments,department_name,string,0.0,0.0
employees,employee_id,string,0.0,0.0
employees,employee_name,string,0.0,0.0
employees,department_id,string,0.0,0.0
employees,job_title,string,0.0,0.0
employees,hire_date,date,0.0,1.0
employees,termination_date,string,0.0,0.0
fx_rates_daily,date,date,0.0,1.0
fx_rates_daily,currency,string,0.0,0.0
fx_rates_daily,vnd_per_currency,decimal,1.0,0.0
inventory_daily_snapshot_raw,snapshot_date,date,0.0,1.0
inventory_daily_snapshot_raw,warehouse_id,string,0.0,0.0
inventory_daily_snapshot_raw,product_id,string,0.0,0.0
inventory_daily_snapshot_raw,on_hand_qty,integer,1.0,0.0
inventory_daily_snapshot_raw,on_order_qty,integer,1.0,0.0
inventory_daily_snapshot_raw,backlog_qty,integer,1.0,0.0
inventory_daily_snapshot_raw,available_qty,integer,1.0,0.0
inventory_daily_snapshot_raw,unit_cost_vnd,integer,1.0,0.0
inventory_daily_snapshot_raw,inventory_value_vnd,integer,1.0,0.0
inventory_daily_snapshot_raw,stockout_flag,boolean,1.0,0.0
inventory_daily_snapshot_raw,reorder_point_qty,integer,1.0,0.0
inventory_daily_snapshot_raw,safety_stock_qty,integer,1.0,0.0
inventory_movements_raw,inventory_move_id,string,0.0,0.0
inventory_movements_raw,movement_date,date,0.0,1.0
inventory_movements_raw,warehouse_id,string,0.0,0.0
inventory_movements_raw,product_id,string,0.0,0.0
inventory_movements_raw,movement_type,string,0.0,0.0
inventory_movements_raw,quantity_signed,integer,1.0,0.0
inventory_movements_raw,unit_cost_vnd,decimal,1.0,0.0
inventory_movements_raw,reference_document,string,0.0,0.0
inventory_movements_raw,reference_line,string,0.0,0.0
inventory_movements_raw,batch_no,string,0.0,0.0
inventory_movements_raw,expiry_date,date,0.0,1.0
inventory_policy_history,product_id,string,0.0,0.0
inventory_policy_history,effective_from,date,0.0,1.0
inventory_policy_history,effective_to,date,0.0,1.0
inventory_policy_history,reorder_point_qty,integer,1.0,0.0
inventory_policy_history,safety_stock_qty,integer,1.0,0.0
inventory_policy_history,target_service_level,decimal,1.0,0.0
inventory_policy_history,annual_holding_rate_pct,decimal,1.0,0.0
invoice_lines_raw,invoice_line_id,string,0.0,0.0
invoice_lines_raw,invoice_id,string,0.0,0.0
invoice_lines_raw,sales_order_line_id,string,0.0,0.0
invoice_lines_raw,product_id,string,0.0,0.0
invoice_lines_raw,quantity_invoiced,integer,1.0,0.0
invoice_lines_raw,unit_price_vnd,integer,1.0,0.0
invoice_lines_raw,discount_pct,decimal,1.0,0.0
invoice_lines_raw,net_amount_vnd,integer,1.0,0.0
invoice_lines_raw,tax_amount_vnd,string,1.0,0.0
invoice_lines_raw,line_total_vnd,integer,1.0,0.0
invoices_raw,invoice_id,string,0.0,0.0
invoices_raw,sales_order_id,string,0.0,0.0
invoices_raw,customer_id,string,0.0,0.0
invoices_raw,invoice_date,date,0.0,0.9955
invoices_raw,due_date,date,0.0,1.0
invoices_raw,payment_term,string,0.0,0.0
invoices_raw,invoice_amount_vnd,integer,1.0,0.0
invoices_raw,payment_status,string,0.0,0.0
invoices_raw,source_system,string,0.0,0.0
leads_raw,lead_id,string,0.0,0.0
leads_raw,created_at,datetime,0.0,0.9848
leads_raw,customer_id,string,0.0,0.0
leads_raw,company_name_raw,string,0.0,0.0
leads_raw,industry_raw,string,0.0,0.0
leads_raw,province_raw,string,0.0,0.0
leads_raw,source_channel_raw,string,0.0,0.0
leads_raw,campaign_id,string,0.0,0.0
leads_raw,product_interest_id,string,0.0,0.0
leads_raw,inquiry_type,string,0.0,0.0
leads_raw,company_size_band,string,0.0,0.2047
leads_raw,pages_viewed_30d,integer,1.0,0.0
leads_raw,form_completeness_pct,integer,1.0,0.0
leads_raw,requested_quote_flag,boolean,1.0,0.0
leads_raw,requested_sample_flag,boolean,1.0,0.0
leads_raw,budget_status,string,0.0,0.0
leads_raw,purchase_timeline_days,integer,1.0,0.0
leads_raw,assigned_sales_id,string,0.0,0.0
leads_raw,lifecycle_status_raw,string,0.0,0.0
leads_raw,lost_reason_raw,string,0.0,0.0
leads_raw,expected_value_vnd,integer,1.0,0.0
leads_raw,email,string,0.0,0.0
leads_raw,phone,string,1.0,0.0
marketing_campaigns,campaign_id,string,0.0,0.0
marketing_campaigns,campaign_name,string,0.0,0.0
marketing_campaigns,channel,string,0.0,0.0
marketing_campaigns,start_date,date,0.0,1.0
marketing_campaigns,end_date,date,0.0,1.0
marketing_campaigns,objective,string,0.0,0.0
marketing_campaigns,planned_daily_budget_vnd,integer,1.0,0.0
marketing_daily_raw,date,date,0.0,0.9888
marketing_daily_raw,campaign_id,string,0.0,0.0
marketing_daily_raw,channel,string,0.0,0.0
marketing_daily_raw,impressions,integer,1.0,0.0
marketing_daily_raw,clicks,integer,1.0,0.0
marketing_daily_raw,sessions,integer,1.0,0.0
marketing_daily_raw,spend_vnd,integer,1.0,0.0
marketing_daily_raw,leads_reported,integer,1.0,0.0
marketing_daily_raw,source_platform,string,0.0,0.0
payments_raw,payment_id,string,0.0,0.0
payments_raw,invoice_id,string,0.0,0.0
payments_raw,customer_id,string,0.0,0.0
payments_raw,payment_date,date,0.0,0.9744
payments_raw,paid_amount_vnd,integer,1.0,0.0
payments_raw,payment_method,string,0.0,0.0
payments_raw,payment_stage,string,0.0,0.0
process_events_raw,process_event_id,string,0.0,0.0
process_events_raw,case_type,string,0.0,0.0
process_events_raw,case_id,string,0.0,0.0
process_events_raw,event_timestamp,datetime,0.0,1.0
process_events_raw,department,string,0.0,0.0
process_events_raw,event_stage,string,0.0,0.0
process_events_raw,event_description,string,0.0,0.0
process_events_raw,duration_from_previous_hours,decimal,1.0,0.0
product_supplier_map_raw,map_id,string,0.0,0.0
product_supplier_map_raw,product_id,string,0.0,0.0
product_supplier_map_raw,supplier_id,string,0.0,0.0
product_supplier_map_raw,supplier_role,string,0.0,0.0
product_supplier_map_raw,effective_from,date,0.0,1.0
product_supplier_map_raw,effective_to,string,0.0,0.0
product_supplier_map_raw,currency,string,0.0,0.0
product_supplier_map_raw,unit_cost_local,decimal,1.0,0.0
product_supplier_map_raw,moq_qty,integer,1.0,0.0
product_supplier_map_raw,contract_lead_time_days,integer,1.0,0.0
product_supplier_map_raw,expected_defect_rate,decimal,1.0,0.0
product_supplier_map_raw,freight_mode,string,0.0,0.0
products_raw,product_id,string,0.0,0.0
products_raw,sku,string,0.0,0.0
products_raw,product_name,string,0.0,0.0
products_raw,product_category,string,0.0,0.0
products_raw,product_family,string,0.0,0.0
products_raw,brand,string,0.0,0.0
products_raw,source_country,string,0.0,0.0
products_raw,standard_cost_vnd,integer,1.0,0.0
products_raw,list_price_vnd,integer,1.0,0.0
products_raw,shelf_life_days,integer,1.0,0.0
products_raw,criticality,string,0.0,0.0
products_raw,base_reorder_point_qty,integer,1.0,0.0
products_raw,base_safety_stock_qty,integer,1.0,0.0
products_raw,popularity_rank,integer,1.0,0.0
purchase_order_lines_raw,purchase_order_line_id,string,0.0,0.0
purchase_order_lines_raw,purchase_order_id,string,0.0,0.0
purchase_order_lines_raw,product_id,string,0.0,0.0
purchase_order_lines_raw,quantity_ordered,integer,1.0,0.0
purchase_order_lines_raw,unit_price_local,decimal,1.0,0.0
purchase_order_lines_raw,currency,string,0.0,0.0
purchase_order_lines_raw,fx_rate_to_vnd,decimal,1.0,0.0
purchase_order_lines_raw,merchandise_value_vnd,integer,1.0,0.0
purchase_order_lines_raw,freight_cost_vnd,integer,1.0,0.0
purchase_order_lines_raw,customs_cost_vnd,integer,1.0,0.0
purchase_order_lines_raw,expedite_cost_vnd,integer,1.0,0.0
purchase_order_lines_raw,supplier_role,string,0.0,0.0
purchase_order_lines_raw,contract_lead_time_days,integer,1.0,0.0
purchase_orders_raw,purchase_order_id,string,0.0,0.0
purchase_orders_raw,po_date,date,0.0,0.9915
purchase_orders_raw,supplier_id,string,0.0,0.0
purchase_orders_raw,buyer_id,string,0.0,0.0
purchase_orders_raw,expected_receipt_date,date,0.0,0.9872
purchase_orders_raw,actual_receipt_date,date,0.0,1.0
purchase_orders_raw,currency,string,0.0,0.0
purchase_orders_raw,fx_rate_to_vnd,decimal,1.0,0.0
purchase_orders_raw,payment_term,string,0.0,0.0
purchase_orders_raw,incoterm,string,0.0,0.0
purchase_orders_raw,po_status,string,0.0,0.0
qa_events_raw,qa_event_id,string,0.0,0.0
qa_events_raw,event_date,date,0.0,1.0
qa_events_raw,purchase_order_id,string,0.0,0.0
qa_events_raw,purchase_order_line_id,string,0.0,0.0
qa_events_raw,product_id,string,0.0,0.0
qa_events_raw,supplier_id,string,0.0,0.0
qa_events_raw,qa_type,string,0.0,0.0
qa_events_raw,severity,string,0.0,0.0
qa_events_raw,defect_qty,integer,1.0,0.0
qa_events_raw,estimated_quality_cost_vnd,integer,1.0,0.0
qa_events_raw,disposition,string,0.0,0.0
quotation_lines_raw,quotation_line_id,string,0.0,0.0
quotation_lines_raw,quotation_id,string,0.0,0.0
quotation_lines_raw,product_id,string,0.0,0.0
quotation_lines_raw,quantity,integer,1.0,0.0
quotation_lines_raw,unit_price_local,decimal,1.0,0.0
quotation_lines_raw,currency,string,0.0,0.0
quotation_lines_raw,discount_pct,decimal,1.0,0.0
quotation_lines_raw,line_net_vnd,integer,1.0,0.0
quotations_raw,quotation_id,string,0.0,0.0
quotations_raw,lead_id,string,0.0,0.0
quotations_raw,customer_id,string,0.0,0.0
quotations_raw,quote_date_raw,date,0.0,0.9816
quotations_raw,version_no,integer,1.0,0.0
quotations_raw,quote_date_clean_reference,date,0.0,1.0
quotations_raw,valid_until,date,0.0,1.0
quotations_raw,salesperson_id,string,0.0,0.0
quotations_raw,currency,string,0.0,0.0
quotations_raw,fx_rate_to_vnd,decimal,1.0,0.0
quotations_raw,quotation_status,string,0.0,0.0
quotations_raw,header_total_vnd,integer,1.0,0.0
sales_activities_raw,activity_id,string,0.0,0.0
sales_activities_raw,lead_id,string,0.0,0.0
sales_activities_raw,employee_id,string,0.0,0.0
sales_activities_raw,activity_datetime,datetime,0.0,0.9872
sales_activities_raw,activity_type_raw,string,0.0,0.0
sales_activities_raw,outcome_raw,string,0.0,0.0
sales_activities_raw,next_followup_date,date,0.0,1.0
sales_activities_raw,data_entry_source,string,0.0,0.0
sales_order_lines_raw,sales_order_line_id,string,0.0,0.0
sales_order_lines_raw,sales_order_id,string,0.0,0.0
sales_order_lines_raw,product_id,string,0.0,0.0
sales_order_lines_raw,quantity_ordered,integer,1.0,0.0
sales_order_lines_raw,unit_price_vnd,integer,1.0,0.0
sales_order_lines_raw,unit_cost_vnd,integer,1.0,0.0
sales_order_lines_raw,discount_pct,decimal,1.0,0.0
sales_order_lines_raw,promised_delivery_date,date,0.0,1.0
sales_order_lines_raw,line_status,string,0.0,0.0
sales_order_lines_raw,quantity_shipped_to_date,integer,1.0,0.0
sales_orders_raw,sales_order_id,string,0.0,0.0
sales_orders_raw,quotation_id,string,0.0,0.0
sales_orders_raw,lead_id,string,0.0,0.0
sales_orders_raw,customer_id,string,0.0,0.0
sales_orders_raw,order_date_raw,date,0.0,0.9553
sales_orders_raw,requested_delivery_date,date,0.0,1.0
sales_orders_raw,salesperson_id,string,0.0,0.0
sales_orders_raw,payment_term,string,0.0,0.0
