table_name,row_count,column_count,real_null_cells,duplicate_row_count
after_sales_cases_raw,19,11,0,0
business_interventions,5,7,0,0
customers_raw,188,10,5,0
departments,8,2,0,0
employees,10,6,10,0
fx_rates_daily,3040,3,0,0
inventory_daily_snapshot_raw,19456,12,0,0
inventory_movements_raw,683,11,946,0
inventory_policy_history,38,7,32,0
invoice_lines_raw,330,10,0,0
invoices_raw,224,9,0,0
leads_raw,855,23,301,10
marketing_campaigns,15,7,0,0
marketing_daily_raw,7686,9,0,60
payments_raw,234,7,0,10
process_events_raw,4790,8,1256,0
product_supplier_map_raw,222,12,222,0
products_raw,32,14,16,0
purchase_order_lines_raw,234,13,0,0
purchase_orders_raw,234,11,9,0
qa_events_raw,22,11,0,0
quotation_lines_raw,919,8,0,0
quotations_raw,488,12,16,0
sales_activities_raw,2188,8,236,24
sales_order_lines_raw,307,10,0,0
sales_orders_raw,179,12,44,0
shipment_lines_raw,406,5,0,0
shipments_raw,348,10,0,0
supplier_invoices_raw,225,7,0,0
supplier_payments_raw,225,6,0,0
suppliers_raw,18,10,0,0
warehouses,2,5,0,0
