issue_id,table_name,column_name,issue_type,issue_count,example,detail,suggested_action,decision,action,reason
b45a4aee42b8,after_sales_cases_raw,case_id,,,,,REVIEW_ONLY,,,
ced7e8b73265,after_sales_cases_raw,sales_order_id,,,,,REVIEW_ONLY,,,
e3e50d8b0f67,after_sales_cases_raw,customer_id,,,,,REVIEW_ONLY,,,
20da18fb7099,after_sales_cases_raw,opened_date,,,,,REVIEW_ONLY,,,
66ab4cd3cefb,after_sales_cases_raw,closed_date,,,,,REVIEW_ONLY,,,
8f5276e8dc2f,after_sales_cases_raw,issue_type,,,,,REVIEW_ONLY,,,
2d2d2630e002,after_sales_cases_raw,severity,,,,,REVIEW_ONLY,,,
a89affa3b5bc,after_sales_cases_raw,resolution_days,,,,,REVIEW_ONLY,,,
9949597ab21c,after_sales_cases_raw,csat_score,,,,,REVIEW_ONLY,,,
f406609d55ab,after_sales_cases_raw,repeat_order_within_90d_flag,,,,,REVIEW_ONLY,,,
a1a891ca036d,after_sales_cases_raw,case_status,,,,,REVIEW_ONLY,,,
685a3aa02976,business_interventions,intervention_id,,,,,REVIEW_ONLY,,,
7bdb5f9c0290,business_interventions,effective_date,,,,,REVIEW_ONLY,,,
5854859b8c73,business_interventions,project,,,,,REVIEW_ONLY,,,
ed62641519f7,business_interventions,intervention_name,,,,,REVIEW_ONLY,,,
290a96c30353,business_interventions,description,,,,,REVIEW_ONLY,,,
283165452c7a,business_interventions,target_kpis,,,,,REVIEW_ONLY,,,
4dd30754491b,business_interventions,measurement_note,,,,,REVIEW_ONLY,,,
4ea2f246bf34,customers_raw,customer_id,,,,,REVIEW_ONLY,,,
6140faa9c1f3,customers_raw,company_name,,,,,REVIEW_ONLY,,,
91a5e3f82bad,customers_raw,tax_id,,,,,REVIEW_ONLY,,,
b1d3cb09aaea,customers_raw,industry,,,,,REVIEW_ONLY,,,
1b5b2591ff19,customers_raw,province,,,,,REVIEW_ONLY,,,
1a5b795a2e07,customers_raw,customer_segment,,,,,REVIEW_ONLY,,,
efafa5758108,customers_raw,company_size_band,,,,,REVIEW_ONLY,,,
12f8e70dc172,customers_raw,credit_risk,,,,,REVIEW_ONLY,,,
172f1c5704ab,customers_raw,default_payment_term,,,,,REVIEW_ONLY,,,
5cf7874e37bb,customers_raw,customer_since,,,,,REVIEW_ONLY,,,
455c316fab99,customers_raw,company_name,TEXT_VARIANT,,,,APPLY_VALUE_MAPPING,,,
455c316fab99,customers_raw,company_name,TEXT_VARIANT,,,,APPLY_VALUE_MAPPING,,,
455c316fab99,customers_raw,company_name,TEXT_VARIANT,,,,APPLY_VALUE_MAPPING,,,
283a149bcac2,customers_raw,industry,TEXT_VARIANT,,,,APPLY_VALUE_MAPPING,,,
283a149bcac2,customers_raw,industry,TEXT_VARIANT,,,,APPLY_VALUE_MAPPING,,,
