table_name,silver_table_name,allow_no_primary_key,source_column,column_name,datatype,nullable,is_pk,pk_order,is_fk,fk_reference,row_count,duplicate_row_count
after_sales_cases_raw,after_sales_cases,False,case_id,case_id,string,False,True,1,False,,19,0
after_sales_cases_raw,after_sales_cases,False,sales_order_id,sales_order_id,string,False,False,,True,sales_orders_raw.sales_order_id,19,0
after_sales_cases_raw,after_sales_cases,False,customer_id,customer_id,string,False,False,,True,customers_raw.customer_id,19,0
after_sales_cases_raw,after_sales_cases,False,opened_date,opened_date,date,False,False,,False,,19,0
after_sales_cases_raw,after_sales_cases,False,closed_date,closed_date,date,False,False,,False,,19,0
after_sales_cases_raw,after_sales_cases,False,issue_type,issue_type,string,False,False,,False,,19,0
after_sales_cases_raw,after_sales_cases,False,severity,severity,string,False,False,,False,,19,0
after_sales_cases_raw,after_sales_cases,False,resolution_days,resolution_days,integer,False,False,,False,,19,0
after_sales_cases_raw,after_sales_cases,False,csat_score,csat_score,integer,False,False,,False,,19,0
after_sales_cases_raw,after_sales_cases,False,repeat_order_within_90d_flag,repeat_order_within_90d_flag,boolean,False,False,,False,,19,0
after_sales_cases_raw,after_sales_cases,False,case_status,case_status,string,False,False,,False,,19,0
business_interventions,business_interventions,False,intervention_id,intervention_id,string,False,True,1,False,,5,0
business_interventions,business_interventions,False,effective_date,effective_date,date,False,False,,False,,5,0
business_interventions,business_interventions,False,project,project,string,False,False,,False,,5,0
business_interventions,business_interventions,False,intervention_name,intervention_name,string,False,False,,False,,5,0
business_interventions,business_interventions,False,description,description,string,False,False,,False,,5,0
business_interventions,business_interventions,False,target_kpis,target_kpis,string,False,False,,False,,5,0
business_interventions,business_interventions,False,measurement_note,measurement_note,string,False,False,,False,,5,0
customers_raw,customers,False,customer_id,customer_id,string,False,True,1,False,,188,0
customers_raw,customers,False,company_name,company_name,string,False,False,,False,,188,0
customers_raw,customers,False,tax_id,tax_id,string,True,False,,False,,188,0
customers_raw,customers,False,industry,industry,string,False,False,,False,,188,0
customers_raw,customers,False,province,province,string,False,False,,False,,188,0
customers_raw,customers,False,customer_segment,customer_segment,string,False,False,,False,,188,0
customers_raw,customers,False,company_size_band,company_size_band,string,False,False,,False,,188,0
customers_raw,customers,False,credit_risk,credit_risk,string,False,False,,False,,188,0
customers_raw,customers,False,default_payment_term,default_payment_term,string,False,False,,False,,188,0
customers_raw,customers,False,customer_since,customer_since,date,False,False,,False,,188,0
departments,departments,False,department_id,department_id,string,False,True,1,False,,8,0
departments,departments,False,department_name,department_name,string,False,False,,False,,8,0
employees,employees,False,employee_id,employee_id,string,False,True,1,False,,10,0
employees,employees,False,employee_name,employee_name,string,False,False,,False,,10,0
employees,employees,False,department_id,department_id,string,False,False,,True,departments.department_id,10,0
employees,employees,False,job_title,job_title,string,False,False,,False,,10,0
employees,employees,False,hire_date,hire_date,date,False,False,,False,,10,0
employees,employees,False,termination_date,termination_date,date,True,False,,False,,10,0
fx_rates_daily,fx_rates_daily,False,date,date,date,False,True,1,False,,3040,0
fx_rates_daily,fx_rates_daily,False,currency,currency,string,False,True,2,False,,3040,0
fx_rates_daily,fx_rates_daily,False,vnd_per_currency,vnd_per_currency,decimal,False,False,,False,,3040,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,snapshot_date,snapshot_date,date,False,True,1,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,warehouse_id,warehouse_id,string,False,False,,True,warehouses.warehouse_id,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,product_id,product_id,string,False,True,2,True,products_raw.product_id,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,on_hand_qty,on_hand_qty,integer,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,on_order_qty,on_order_qty,integer,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,backlog_qty,backlog_qty,integer,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,available_qty,available_qty,integer,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,unit_cost_vnd,unit_cost_vnd,integer,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,inventory_value_vnd,inventory_value_vnd,integer,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,stockout_flag,stockout_flag,boolean,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,reorder_point_qty,reorder_point_qty,integer,False,False,,False,,19456,0
inventory_daily_snapshot_raw,inventory_daily_snapshot,False,safety_stock_qty,safety_stock_qty,integer,False,False,,False,,19456,0
inventory_movements_raw,inventory_movements,False,inventory_move_id,inventory_move_id,string,False,True,1,False,,683,0
inventory_movements_raw,inventory_movements,False,movement_date,movement_date,date,False,False,,False,,683,0
inventory_movements_raw,inventory_movements,False,warehouse_id,warehouse_id,string,False,False,,True,warehouses.warehouse_id,683,0
inventory_movements_raw,inventory_movements,False,product_id,product_id,string,False,False,,True,products_raw.product_id,683,0
inventory_movements_raw,inventory_movements,False,movement_type,movement_type,string,False,False,,False,,683,0
inventory_movements_raw,inventory_movements,False,quantity_signed,quantity_signed,integer,False,False,,False,,683,0
inventory_movements_raw,inventory_movements,False,unit_cost_vnd,unit_cost_vnd,decimal,False,False,,False,,683,0
inventory_movements_raw,inventory_movements,False,reference_document,reference_document,string,False,False,,False,,683,0
inventory_movements_raw,inventory_movements,False,reference_line,reference_line,string,True,False,,False,,683,0
inventory_movements_raw,inventory_movements,False,batch_no,batch_no,string,True,False,,False,,683,0
inventory_movements_raw,inventory_movements,False,expiry_date,expiry_date,date,True,False,,False,,683,0
inventory_policy_history,inventory_policy_history,False,product_id,product_id,string,False,True,1,True,products_raw.product_id,38,0
inventory_policy_history,inventory_policy_history,False,effective_from,effective_from,date,False,True,2,False,,38,0
inventory_policy_history,inventory_policy_history,False,effective_to,effective_to,date,True,False,,False,,38,0
inventory_policy_history,inventory_policy_history,False,reorder_point_qty,reorder_point_qty,integer,False,False,,False,,38,0
inventory_policy_history,inventory_policy_history,False,safety_stock_qty,safety_stock_qty,integer,False,False,,False,,38,0
inventory_policy_history,inventory_policy_history,False,target_service_level,target_service_level,decimal,False,False,,False,,38,0
inventory_policy_history,inventory_policy_history,False,annual_holding_rate_pct,annual_holding_rate_pct,decimal,False,False,,False,,38,0
invoice_lines_raw,invoice_lines,False,invoice_line_id,invoice_line_id,string,False,True,1,False,,330,0
invoice_lines_raw,invoice_lines,False,invoice_id,invoice_id,string,False,False,,True,invoices_raw.invoice_id,330,0
invoice_lines_raw,invoice_lines,False,sales_order_line_id,sales_order_line_id,string,False,False,,True,sales_order_lines_raw.sales_order_line_id,330,0
invoice_lines_raw,invoice_lines,False,product_id,product_id,string,False,False,,True,products_raw.product_id,330,0
invoice_lines_raw,invoice_lines,False,quantity_invoiced,quantity_invoiced,integer,False,False,,False,,330,0
invoice_lines_raw,invoice_lines,False,unit_price_vnd,unit_price_vnd,integer,False,False,,False,,330,0
invoice_lines_raw,invoice_lines,False,discount_pct,discount_pct,decimal,False,False,,False,,330,0
invoice_lines_raw,invoice_lines,False,net_amount_vnd,net_amount_vnd,integer,False,False,,False,,330,0
invoice_lines_raw,invoice_lines,False,tax_amount_vnd,tax_amount_vnd,string,False,False,,False,,330,0
invoice_lines_raw,invoice_lines,False,line_total_vnd,line_total_vnd,integer,False,False,,False,,330,0
invoices_raw,invoices,False,invoice_id,invoice_id,string,False,True,1,False,,224,0
invoices_raw,invoices,False,sales_order_id,sales_order_id,string,False,False,,True,sales_orders_raw.sales_order_id,224,0
invoices_raw,invoices,False,customer_id,customer_id,string,False,False,,True,customers_raw.customer_id,224,0
invoices_raw,invoices,False,invoice_date,invoice_date,date,False,False,,False,,224,0
invoices_raw,invoices,False,due_date,due_date,date,False,False,,False,,224,0
invoices_raw,invoices,False,payment_term,payment_term,string,False,False,,False,,224,0
invoices_raw,invoices,False,invoice_amount_vnd,invoice_amount_vnd,integer,False,False,,False,,224,0
invoices_raw,invoices,False,payment_status,payment_status,string,False,False,,False,,224,0
invoices_raw,invoices,False,source_system,source_system,string,False,False,,False,,224,0
leads_raw,leads,False,lead_id,lead_id,string,False,True,1,False,,855,10
leads_raw,leads,False,created_at,created_at,datetime,False,False,,False,,855,10
leads_raw,leads,False,customer_id,customer_id,string,True,False,,True,customers_raw.customer_id,855,10
leads_raw,leads,False,company_name_raw,company_name,string,False,False,,False,,855,10
leads_raw,leads,False,industry_raw,industry,string,False,False,,False,,855,10
leads_raw,leads,False,province_raw,province,string,False,False,,False,,855,10
leads_raw,leads,False,source_channel_raw,source_channel,string,False,False,,False,,855,10
leads_raw,leads,False,campaign_id,campaign_id,string,False,False,,True,marketing_campaigns.campaign_id,855,10
leads_raw,leads,False,product_interest_id,product_interest_id,string,False,False,,True,products_raw.product_id,855,10
leads_raw,leads,False,inquiry_type,inquiry_type,string,False,False,,False,,855,10
leads_raw,leads,False,company_size_band,company_size_band,string,False,False,,False,,855,10
leads_raw,leads,False,pages_viewed_30d,pages_viewed_30d,integer,False,False,,False,,855,10
leads_raw,leads,False,form_completeness_pct,form_completeness_pct,integer,False,False,,False,,855,10
leads_raw,leads,False,requested_quote_flag,requested_quote_flag,boolean,False,False,,False,,855,10
leads_raw,leads,False,requested_sample_flag,requested_sample_flag,boolean,False,False,,False,,855,10
leads_raw,leads,False,budget_status,budget_status,string,False,False,,False,,855,10
leads_raw,leads,False,purchase_timeline_days,purchase_timeline_days,integer,False,False,,False,,855,10
